tag,min,max,median
T1,0.0122074037790298,353.8352966308594,127.03490829467773
P2,-0.2642996609210968,307.0,3.5117779970169067
F3,0.616473913192749,307.0,79.74625778198242
P4,-0.2642927467823028,307.0,3.802850604057312
F5,-169.23968505859375,6211.66015625,-13.730228900909424
T6_x,0.2750647962093353,257.4535827636719,229.17866516113278
F7,-0.4923856258392334,346.83160400390625,266.37474060058594
F8,-0.5169835686683655,369.869140625,263.3180694580078
F9_x,-0.6540952920913696,359.9884033203125,210.18294525146484
D10,240.0,307.0,307.0
T11_x,0.0,307.0,65.16716384887695
F12,-4.290663719177246,439.435302734375,353.5428771972656
T13,0.033570360392332,307.0,85.03526306152344
F14_x,1.226844072341919,362.5106506347656,252.0
T15,0.0152592547237873,307.0,141.80252838134766
F16,-2.18123722076416,307.0,55.62066459655762
T17,0.0,380.63470458984375,212.43362426757812
T18_x,0.0,341.8058776855469,156.6760482788086
F19_x,-4.974306106567383,307.0,65.5710220336914
T20,5.039069175720215,307.0,113.83152389526367
P21,-0.1449893116950988,307.0,1.1398019790649414
P22,-0.1582906991243362,307.0,1.1161752343177795
P23,-0.158364862203598,240.0,1.1153594851493835
T24,0.0976592302322387,349.08154296875,139.07574462890625
F25_x,-0.1806695759296417,307.0,18.722074508666992
F26_x,-28.36261367797852,387.462646484375,-3.445455551147461
F27,-4.983686447143555,434.6394958496094,199.53980255126953
F28,3.082369565963745,661.0309448242188,270.114990234375
F29,-0.4313791394233703,307.0,8.49066686630249
F30,-1.786140203475952,307.0,128.06507873535156
F31,-5.0,694.9786376953125,538.806884765625
F32,-3.205509662628174,307.0,81.47909164428711
T33,0.0396822914481163,360.54827880859375,338.265869140625
F34,0.4943998456001282,307.0,87.03574752807617
F35,-4.436933517456055,307.0,131.73129272460938
F36,-2.087071895599365,307.0,131.49816131591797
T37,0.0,307.0,60.993656158447266
T38,0.0061214780434966,307.0,176.43231201171875
T39,0.7731894254684448,252.0,208.79804229736328
T40,1.2946581840515137,307.0,177.79749298095703
F41,-3.925083875656128,307.0,76.93622207641602
T42,1.0969586372375488,305.5448303222656,285.8052215576172
L43,0.0030518509447574,307.0,60.99306678771973
P44,-0.9748629927635192,307.0,-0.8982686400413513
F45,-1.3615833520889282,307.0,16.015548706054688
F46,-3.5681066513061523,307.0,105.27286529541016
T47,-6.874002933502197,307.0,180.09838104248047
T48,0.4794928431510925,399.3340148925781,354.75506591796875
T49,0.8973313570022583,307.0,128.92530822753906
P50,-0.0264816731214523,307.0,0.950535923242569
P51,23.38587760925293,758.8696899414062,47.99014472961426
P52,-0.0005213182885199,307.0,-0.00029977636586405
F53,-4.993896484375,307.0,81.82416534423828
F54,-1.1123170852661133,307.0,22.61001491546631
T55,0.0366222113370895,417.2664794921875,381.5806274414063
F56,-0.3145236670970917,307.0,28.749606132507324
F57,-3.3923115730285645,313.0,33.54618835449219
T58,-0.6185048818588257,240.0,58.407432556152344
F59,-3.859629631042481,307.0,197.88026428222656
F60,-1.604888081550598,307.0,173.9311065673828
T61,0.0217534378170967,251.0,181.8859634399414
F62,-4.928022861480713,307.0,104.78940963745117
F63,-2.809534072875977,307.0,163.58329010009766
F64,0.5401776432991028,307.0,120.85747146606445
F65,-4.92780876159668,1258.1739501953125,914.9988708496094
T66,0.0610370188951492,397.59515380859375,254.11077117919922
P67,-0.1584357917308807,307.0,1.1154018640518188
F68,-0.9631497263908386,307.0,23.17489528656006
F69,-0.447903037071228,363.4469604492188,51.550432205200195
W70,0.0025936588644981,158.06527709960938,99.94389343261719
T71,0.0106814783066511,330.626708984375,304.31590270996094
,0.0,189216.0,93575.5
F1,-0.0234238412231206,307.0,3.6724724769592285
F2,4.25122444786422e-18,130969.4921875,93011.6328125
P3,-0.0076161744073033,3.985066175460816,3.6570618152618404
W4,5.554278758096553e-18,10.0,2.5898624658584595
T5,-1.2354503870010376,393.0915222167969,369.918212890625
T6_y,-2.6479880809783936,391.489990234375,362.7958221435547
W7,0.0,10.0,0.17285422980785364
P8,-3.7971386909484863,6.999456882476807,0.17490281164646143
F9_y,-20.237199783325195,307.0,219.14111328125
W10,-0.0177021194249391,10.0,2.8062719106674194
T11_y,0.0,388.5842895507813,363.7105407714844
T12,0.0537125766277313,307.0,186.08794403076172
P13,0.0022547629196196,4.324100017547607,3.9189342260360718
F14_y,0.0,307.0,6.015353679656982
F15,0.0,4258.345703125,3399.1732177734375
T16,-7.208895683288574,307.0,35.25985336303711
F17,0.0,416.0716857910156,265.052978515625
T18_y,50.40718078613281,99.9908447265625,68.61014175415039
F19_y,-5.0301032066345215,340.724853515625,214.5667266845703
Q20,2.771353244781494,15045.7734375,7893.671875
Q21,-0.0991665050387382,307.0,8.497607231140137
F22,0.0,21173.23828125,11013.72412109375
T23,-1.5593305826187134,307.0,235.28115844726562
P24,-0.0076122158206999,307.0,0.5849609375
F25_y,0.0,18234.5703125,13117.72216796875
F26_y,-23.75404167175293,333.1112670898437,256.7503662109375
